Date,3081.TWO,3357.TWO,3491.TWO,3711.TW,4958.TW,6279.TWO,6290.TWO,8069.TWO
2023-09-20,116.0,112.0,156.0,114.5,101.5,145.36585998535156,58.599998474121094,180.0
2023-09-21,115.0,111.0,153.0,112.0,97.69999694824219,143.90243530273438,58.20000076293945,178.0
2023-09-22,117.5,113.0,158.5,112.0,99.0,145.36585998535156,58.70000076293945,179.5
2023-09-25,117.5,112.5,169.5,112.5,99.5,147.80487060546875,61.5,182.0
2023-09-26,115.5,110.5,162.5,109.0,98.30000305175781,145.36585998535156,61.29999923706055,177.5
2023-09-27,114.0,109.5,156.5,109.5,97.5999984741211,144.39024353027344,61.79999923706055,178.5
2023-09-28,117.0,109.5,154.5,109.5,98.4000015258789,143.4146270751953,61.70000076293945,179.5
2023-10-02,126.0,112.0,159.0,111.0,99.80000305175781,149.756103515625,63.5,181.5
2023-10-03,123.5,110.5,155.5,110.5,98.4000015258789,149.26829528808594,62.70000076293945,179.5
2023-10-04,125.5,110.0,156.5,109.5,97.4000015258789,154.14634704589844,62.400001525878906,178.0
2023-10-05,123.5,110.0,156.0,112.0,98.0,154.14634704589844,62.20000076293945,182.5
2023-10-06,114.5,113.5,157.0,110.5,98.5,154.14634704589844,63.400001525878906,182.0
2023-10-11,113.5,111.0,158.0,115.5,100.5,147.31707763671875,63.599998474121094,181.0
2023-10-12,115.5,113.0,160.5,116.5,101.0,150.73170471191406,64.4000015258789,185.0
2023-10-13,114.0,112.5,166.0,116.5,101.5,150.243896484375,64.9000015258789,183.5
2023-10-16,113.5,111.5,169.0,116.0,102.0,149.26829528808594,65.19999694824219,179.0
2023-10-17,112.5,113.0,170.5,116.0,100.5,150.243896484375,64.5,178.5
2023-10-18,107.5,111.5,171.0,116.0,101.5,148.2926788330078,63.5,180.0
2023-10-19,107.5,110.0,167.0,116.0,98.5,149.26829528808594,64.4000015258789,178.5
2023-10-20,103.0,109.0,164.0,118.5,97.80000305175781,145.85365295410156,66.0999984741211,173.0
2023-10-23,102.5,108.0,166.5,115.0,95.19999694824219,145.36585998535156,64.4000015258789,168.0
2023-10-24,104.5,108.5,171.5,114.0,96.4000015258789,148.2926788330078,65.0,170.0
2023-10-25,106.0,109.5,168.5,114.0,99.0,149.756103515625,67.5,173.0
2023-10-26,96.0,106.5,168.5,112.0,95.9000015258789,147.80487060546875,66.69999694824219,167.0
2023-10-27,94.9000015258789,105.0,169.0,113.5,98.0,143.4146270751953,67.0,169.5
2023-10-30,97.5,105.0,169.5,112.0,96.5,139.02438354492188,67.0999984741211,169.0
2023-10-31,93.9000015258789,101.0,168.5,113.5,97.5,134.63414001464844,63.099998474121094,168.0
2023-11-01,95.0,102.5,166.0,114.5,97.5,138.53659057617188,63.29999923706055,169.0
2023-11-02,97.80000305175781,105.5,173.5,116.0,101.0,143.4146270751953,66.30000305175781,172.0
2023-11-03,98.4000015258789,105.5,171.0,117.5,99.5999984741211,144.39024353027344,66.19999694824219,173.5
2023-11-06,101.0,107.5,171.0,118.5,102.5,148.78048706054688,65.4000015258789,173.0
2023-11-07,101.0,106.5,171.5,117.5,101.5,148.2926788330078,67.5,168.5
2023-11-08,100.5,109.0,170.5,117.5,103.0,152.68292236328125,66.0999984741211,171.0
2023-11-09,102.0,105.5,166.0,118.0,103.5,153.65853881835938,66.30000305175781,172.5
2023-11-10,100.0,104.5,161.0,117.5,102.0,152.1951141357422,67.30000305175781,173.5
2023-11-13,100.5,104.0,166.0,122.5,103.0,152.68292236328125,63.0,174.5
2023-11-14,101.5,103.5,166.5,123.5,102.5,150.73170471191406,63.70000076293945,175.0
2023-11-15,100.5,103.5,164.5,126.0,103.5,149.756103515625,66.0,180.0
2023-11-16,101.5,103.5,167.0,125.0,103.5,153.1707305908203,63.70000076293945,180.5
2023-11-17,101.5,104.0,169.0,125.5,104.5,153.1707305908203,63.70000076293945,181.0
2023-11-20,105.5,103.5,165.5,124.0,102.0,153.1707305908203,62.400001525878906,177.5
2023-11-21,106.5,107.5,167.0,127.0,104.0,153.65853881835938,62.900001525878906,176.0
2023-11-22,107.0,106.5,163.5,126.5,103.0,154.63414001464844,63.099998474121094,177.5
2023-11-23,105.0,106.5,162.5,127.0,106.0,155.60975646972656,62.70000076293945,178.0
2023-11-24,105.0,108.0,163.5,126.5,105.0,154.14634704589844,61.599998474121094,175.5
2023-11-27,103.0,105.5,163.0,126.0,103.0,154.63414001464844,60.900001525878906,173.5
